epoch: 4330, loss = 4.217, wins per 10: 2, avg checkers diff: -6.7
epoch: 4340, loss = 6.757, wins per 10: 2, avg checkers diff: -6.5
epoch: 4350, loss = 2.669, wins per 10: 3, avg checkers diff: -6.3
epoch: 4360, loss = 2.550, wins per 10: 3, avg checkers diff: -4.5
epoch: 4370, loss = 4.307, wins per 10: 4, avg checkers diff: -2.5
epoch: 4380, loss = 3.407, wins per 10: 3, avg checkers diff: -5.7
epoch: 4390, loss = 5.079, wins per 10: 1, avg checkers diff: -7.9
epoch: 4400, loss = 3.628, wins per 100: 29, avg checkers diff: -5.36
finished testing: 24.0 %
epoch: 4410, loss = 4.127, wins per 10: 4, avg checkers diff: -5.1
epoch: 4420, loss = 3.412, wins per 10: 4, avg checkers diff: -4.1
epoch: 4430, loss = 3.549, wins per 10: 2, avg checkers diff: -7.1
epoch: 4440, loss = 4.007, wins per 10: 2, avg checkers diff: -5.0
epoch: 4450, loss = 1.895, wins per 10: 2, avg checkers diff: -7.5
epoch: 4460, loss = 2.520, wins per 10: 4, avg checkers diff: -3.0
epoch: 4470, loss = 3.356, wins per 10: 3, avg checkers diff: -3.3
epoch: 4480, loss = 3.007, wins per 10: 2, avg checkers diff: -9.2
epoch: 4490, loss = 2.243, wins per 10: 3, avg checkers diff: -4.5
epoch: 4500, loss = 5.531, wins per 100: 27, avg checkers diff: -5.92
epoch: 4510, loss = 10.641, wins per 10: 4, avg checkers diff: -4.6
epoch: 4520, loss = 4.448, wins per 10: 2, avg checkers diff: -6.7
epoch: 4530, loss = 6.939, wins per 10: 2, avg checkers diff: -9.9
epoch: 4540, loss = 4.503, wins per 10: 2, avg checkers diff: -5.7
epoch: 4550, loss = 4.734, wins per 10: 2, avg checkers diff: -8.0
epoch: 4560, loss = 3.819, wins per 10: 2, avg checkers diff: -8.9
epoch: 4570, loss = 7.981, wins per 10: 2, avg checkers diff: -8.3
epoch: 4580, loss = 3.727, wins per 10: 1, avg checkers diff: -9.8
epoch: 4590, loss = 6.755, wins per 10: 3, avg checkers diff: -4.3
epoch: 4600, loss = 11.199, wins per 100: 22, avg checkers diff: -7.24
finished testing: 35.0 %
epoch: 4610, loss = 3.873, wins per 10: 2, avg checkers diff: -6.7
